feature,importance
borrower_feat_2,0.2717812479959943
macro_1,0.25879543551953227
num_past_defaults,0.2388562331836185
borrower_feat_5,0.15671868352472565
credit_util,0.10210009955771748
macro_4,0.06595269672715277
borrower_feat_9,0.06467047293571279
borrower_feat_6,0.05684400779742261
macro_6,0.05594380714914272
borrower_feat_3,0.054978476659682654
borrower_feat_7,0.05196791500934927
macro_5,0.0506694754461356
borrower_feat_4,0.043960953217369564
borrower_feat_11,0.03942274884264104
borrower_feat_1,0.03694957321873546
macro_2,0.03626874003429598
borrower_feat_8,0.03247268782915895
borrower_feat_10,0.031224746813425443
macro_3,0.029797839365995966
borrower_feat_12,0.027522810803434612
